"GEO_ID","GEO_ID_F","NAME","NAICS2017","NAICS2017_F","NAICS2017_LABEL","SEX","SEX_LABEL","ETH_GROUP","ETH_GROUP_LABEL","RACE_GROUP","RACE_GROUP_LABEL","VET_GROUP","VET_GROUP_LABEL","YEAR","FIRMPDEMP","RCPPDEMP","EMP","PAYANN","FIRMPDEMP_S","RCPPDEMP_S","EMP_S","PAYANN_S"
"id","Geo Footnote","Geographic Area Name","2017 NAICS code","2017 NAICS Footnote","Meaning of NAICS code","Sex code","Meaning of Sex code","Ethnicity code","Meaning of Ethnicity code","Race code","Meaning of Race code","Veteran code","Meaning of Veteran code","Year","Number of employer firms","Sales, value of shipments, or revenue of employer firms ($1,000)","Number of employees","Annual payroll ($1,000)","Relative standard error of employer firms (%)","Relative standard error of sales, value of shipments, or revenue of employer firms (%)","Relative standard error of number of employees (%)","Relative standard error of annual payroll (%)"
"0100000US","null","United States","44-45","null","Retail trade","001","Total","001","Total","00","Total","001","Total","2019","633160","W","15743993","470642268","1.4","S","1.3","2.2"
"0100000US","null","United States","44-45","null","Retail trade","002","Female","001","Total","00","Total","001","Total","2019","134655","W","885411","25760865","2.1","S","3.4","4.5"
"0100000US","null","United States","44-45","null","Retail trade","003","Male","001","Total","00","Total","001","Total","2019","368742","W","4512947","164917426","1.5","S","3.2","4.6"
"0100000US","null","United States","44-45","null","Retail trade","004","Equally male/female","001","Total","00","Total","001","Total","2019","121059","W","960278","27909139","1.9","S","7.4","10.1"
"0100000US","null","United States","44-45","null","Retail trade","001","Total","020","Hispanic","00","Total","001","Total","2019","30382","W","189016","5540825","4.7","S","12.2","13.8"
"0100000US","null","United States","44-45","null","Retail trade","002","Female","020","Hispanic","00","Total","001","Total","2019","8139","W","41558","1056531","7.4","S","17.7","17.1"
"0100000US","null","United States","44-45","null","Retail trade","003","Male","020","Hispanic","00","Total","001","Total","2019","17707","W","118891","3751390","8.4","S","14.5","17.5"
"0100000US","null","United States","44-45","null","Retail trade","004","Equally male/female","020","Hispanic","00","Total","001","Total","2019","4536","W","28568","732905","7.7","S","22.8","16.5"
"0100000US","null","United States","44-45","null","Retail trade","001","Total","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","2019","4050","W","29497","985658","9.2","S","19.8","23.9"
